N,country,year,Q.balance,UV.balance,energy_adequacy,gdp,polyunsatFA_percentseafood,calories_percentseafood,protein_percentseafood,vitaminA_percentseafood,thiamin_percentseafood,niacin_percentseafood,riboflavin_percentseafood,B6_percentseafood,iron_percentseafood,calcium_percentseafood,zinc_percentseafood,native,fishmeal,habitat,spp_farmed,prod_ratio,vitamins_all
1,Albania,2011,0.937490267,0.768587207,1,0.067587863,0.021474217,0.02233478,0.03017435,0.015255485,0.037835666,0.05528551,0.013829383,0.033871215,0.028102683,0.004526102,0.039312257,NA,NA,NA,0.136363636,0.646940034,0.028502288
2,Algeria,2011,0.83462156,0.79029582,1,0.092951851,0.012736747,0.019756945,0.029251096,0.021410851,0.034786626,0.047567577,0.023869519,0.036966704,0.034455606,0.008616744,0.030242149,NA,NA,NA,0.204545455,0.446130458,0.029739472
3,Angola,2011,0.863424353,0.887547295,1,0.047429856,0.051176985,0.062356908,0.155652593,0.019934529,0.128380144,0.190349693,0.063054576,0.081287081,0.111178756,0.131140937,0.102073921,NA,NA,NA,0.011363636,0.228672343,0.103424955
4,Antigua and Barbuda,2011,0.873989986,0.668018822,NA,0.145099299,0.114726757,0.271333395,0.368617508,0.101126114,0.236553174,0.164974243,0.16003273,0.321244532,0.483013908,0.206341665,0.312560649,NA,NA,NA,NA,NA,0.248230877
5,Argentina,2011,0.993954056,0.918162951,1,NA,0.006330971,0.017412635,0.024974389,0.001354541,0.013228268,0.018741061,0.014072031,0.030759804,0.030285513,0.009147836,0.022695871,0.633333333,1,0.882352941,0.238636364,0.329683583,0.017535616
6,Armenia,2011,0.786590839,0.862393963,1,0.046339971,0.00605005,0.008615361,0.009867212,0.004478518,0.008313224,0.012321361,0.005666304,0.00875594,0.010229597,0.001816252,0.007280622,NA,NA,NA,0.079545455,0.846904118,0.007357727
7,Aruba,2011,0.838635542,0,NA,0.265152962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.404902833,NA
8,Australia,2011,0.920329385,0.992580514,1,0.308209045,0.022798031,0.062618566,0.09509683,0.040894165,0.068653361,0.095574781,0.038502932,0.094213059,0.23409181,0.020612371,0.159995013,0.255555556,0.244444444,0.617647059,0.386363636,0.640014557,0.094067187
9,Austria,2011,0.991758963,0.575676962,1,0.325132603,0.012261803,0.028106803,0.050123071,0.018857799,0.047866878,0.064871101,0.02471357,0.050649444,0.097189406,0.009556746,0.06813256,NA,NA,NA,0.238636364,0.850041048,0.047729688
10,Azerbaijan,2011,0.950111369,0.46115292,1,0.113386262,0.011729483,0.011068107,0.01179093,0.01219658,0.008936741,0.013562482,0.00838143,0.010530003,0.01010431,0.003301371,0.007633816,NA,NA,NA,0.136363636,0.656932009,0.009330842
11,Bahamas,2011,0.921850242,0.612921579,NA,0.165153936,0.07220671,0.128768239,0.209718977,0.100943652,0.143392987,0.165529875,0.101094813,0.168009009,0.226465633,0.101334248,0.405545823,NA,NA,NA,0.056818182,0,0.176539505
12,Bahrain,2011,0.984629086,0.857588491,NA,0.292580616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056818182,0.162859241,NA
13,Bangladesh,2011,0.844882411,0.774430252,1,0.014698094,0.012105595,0.011598142,0.023534274,0.028429165,0.015344573,0.017527968,0.012914751,0.018320655,0.013918896,0.01049817,0.058602257,0.444444444,0.222222222,0,0.329545455,0.702538562,0.021944554
14,Barbados,2011,0.831118817,0.922674513,1,0.11074432,0.084423132,0.193021398,0.300618279,0.247674681,0.220933236,0.267784642,0.167607711,0.325467774,0.266858798,0.134640167,0.320987123,NA,NA,NA,0.011363636,0.354369474,0.243994267
15,Belarus,2011,0.947243491,0.89994459,1,0.119747296,0.027426635,0.05112266,0.071430534,0.026197972,0.075481751,0.103621354,0.038687072,0.073107163,0.08510961,0.012404568,0.05783793,NA,NA,NA,0.147727273,0.888160181,0.059055928
16,Belgium,2011,0.995216121,0.883442281,1,0.301434529,0.018707313,0.050000039,0.089793199,0.018684535,0.082552428,0.088817615,0.046429257,0.069420654,0.269621654,0.021088676,0.181293285,NA,NA,NA,0.102272727,0.337719414,0.097238513
17,Belize,2011,0.878164984,0.75217166,1,0.054232837,0.040572738,0.062137331,0.112698757,0.013603556,0.05036406,0.054579323,0.056303558,0.086579326,0.108904161,0.08239446,0.115139227,0,0.222222222,0,0.056818182,0.433714224,0.070983459
18,Benin,2011,0.651332963,0.900925047,1,0.008573014,0.019568382,0.032229111,0.074818803,0.021828785,0.03486267,0.065744459,0.036117001,0.033949022,0.116055476,0.063878324,0.03615331,NA,NA,NA,0.056818182,0.394201111,0.051073631
19,Bermuda,2011,0.918103646,0.872192419,NA,0.407245527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Bhutan,2011,0,0.723105531,NA,0.046933228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079545455,1,NA
21,Bolivia,2011,0.809282062,0.848935978,0.916666667,0.037314523,0.00267396,0.005359195,0.008833144,0.00227653,0.00482547,0.004377822,0.002756174,0.009278013,0.005778528,0.002934211,0.004083313,NA,NA,NA,NA,NA,0.004538758
22,Bosnia and Herzegovina,2011,0.866325606,0.989036585,1,0.064778132,0.011864712,0.017464484,0.027615331,0.008391609,0.029927091,0.029813722,0.015481123,0.02053319,0.045043617,0.005876328,0.032722354,NA,NA,NA,0.159090909,0.896012827,0.023473629
23,Botswana,2011,0.850869268,0.475500339,0.666666667,0.097506897,0.012266065,0.016026674,0.028903666,0.016303331,0.032174606,0.059237006,0.015394249,0.029321548,0.021136724,0.020480422,0.018908667,NA,NA,NA,NA,NA,0.026619569
24,Brazil,2011,0.863336882,0.858192896,1,0.106470173,0.004885303,0.017435218,0.029584714,0.004461048,0.028223328,0.021777228,0.016553373,0.031953353,0.023157392,0.009335367,0.020212297,0.022222222,0.244444444,0.029411765,0.5,0.666780018,0.019459173
25,Brunei,2011,0.821337929,0.716858771,1,0.544178552,0.049382508,0.093125355,0.151719726,0.181272506,0.175210791,0.140368807,0.100291889,0.140205375,0.33628988,0.085263012,0.283582199,NA,NA,NA,NA,NA,0.180310557
26,Bulgaria,2011,0.983082081,0.94383592,1,0.11225368,0.011065253,0.020720506,0.031540409,0.021879003,0.039911968,0.048386279,0.021282382,0.042083594,0.063424942,0.007687409,0.043354009,NA,NA,NA,0.5,0.668133291,0.036001198
27,Burkina Faso,2011,0.846880251,0.677604753,1,0.006391746,0.015837686,0.026111789,0.048345785,0.020324197,0.039992529,0.070562337,0.02981735,0.038336724,0.053966312,0.042944949,0.018888159,NA,NA,NA,NA,NA,0.03935407
28,Burundi,2011,0.812479805,0.450429693,NA,0.000716103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011363636,0.355002233,NA
29,Cote dIvoire,2011,0.998903744,0.512086201,1,0.014455398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Cote dIvoire,2011,0.998903744,0.512086201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Cabo Verde,2011,0.606589117,0.925671898,1,0.041429869,0.036378186,0.057523751,0.105478405,0.038326847,0.097290996,0.170271184,0.052282613,0.080543028,0.098199673,0.097842638,0.08060941,NA,NA,NA,NA,NA,0.089420799
32,Cambodia,2011,0.978069324,0.88073784,1,0.015217943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444444444,0.222222222,0,0.318181818,0.56607388,NA
33,Cameroon,2011,0.821868349,0.849890124,1,0.014961764,0.06719438,0.072740424,0.136392321,0.024691767,0.114158773,0.210821558,0.09184416,0.086617581,0.13699812,0.105208689,0.064539796,NA,NA,NA,0.079545455,0.324627813,0.104360056
34,Canada,2011,0.941727271,0.870116048,1,0.306743131,0.017586426,0.052929248,0.089931389,0.034751819,0.053076814,0.067806781,0.033331206,0.072540407,0.153495705,0.024634328,0.182658823,0.488888889,0.344444444,0.544117647,0.181818182,0.59080055,0.077786985
35,Cayman Islands,2011,0.735625781,0.965759991,NA,0.3691752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Central African Republic,2011,0.5883659,0.989643458,0.75,0.002071905,0.003735068,0.007146486,0.016034508,0.007953444,0.01140749,0.0231149,0.007848314,0.009214602,0.0201554,0.006390358,0.007223491,NA,NA,NA,0.045454545,0.343020485,0.0116635
37,Chad,2011,0.711948615,0.736113828,0.666666667,0.009328069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011363636,0,NA
38,Chile,2011,0.941611554,0.827217116,1,0.147182441,0.022897337,0.043752221,0.067381586,0.005261462,0.029481612,0.046127077,0.032367333,0.086245144,0.056398296,0.02653292,0.048844376,0.233333333,0.244444444,0.323529412,0.25,0.619107032,0.041407278
39,China,2011,0.934609431,0.993641009,1,0.074164627,0.018006212,0.055379789,0.07814684,0.026266102,0.024066146,0.041149407,0.062595733,0.033364082,0.379165872,0.142819737,0.232347118,0.177777778,0.988888889,0.617647059,1,0.783572771,0.117721775
40,Hong Kong,2011,0.831527608,0.415321738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Macao,2011,0.980313211,0.914115765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Colombia,2011,0.98415824,0.82319819,1,0.08149345,0.01205094,0.02019598,0.040166652,0.000165132,0.018261557,0.026566812,0.014259799,0.044566954,0.023217278,0.009138377,0.021548558,1,0.222222222,0.294117647,0.25,0.558584187,0.019715558
43,Comoros,2011,0.571796059,0.588752138,NA,0.005473396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
